evaluator_id,script_path,sha256,action_mode_declared,action_mode_actual,action_mode_consistent,worlds,seed,world_set_hash_recorded,checkpoint_load_policy,memory_isolation_checked,canonical_v1_compliant,required_fix,disposition
PHASE2_UNIFIED,student_upgrade_wave1_4gpu/eval_phase2_unified.py,224514026aefd273...,stochastic,stochastic (pi.sample :146),YES,256,42,NO (implicit only),"strict pickle->{'params':..}, no fallback",partial (forward_eval resets),NEAR (add explicit world_set_hash + startup action_mode print),add world_set_hash + A1/A2 explicit action_mode emission,ADOPT AS ANCHOR; upgrade to V1
P7_PAIRED_256,gpu1_p7_egomap/eval_p7_egomap_paired_256.py,protocol claims 51c37c27,stochastic,stochastic (pi.sample),YES (functional path),256,100000,NO,"strict, no fallback",unknown,PARTIAL (seed differs; no world hash),flag seed=100000 separate from seed42; record params SHA (hashlib imported but unused); add world_set_hash,KEEP but mark seed100000 line; not pairable with seed42
P7_BROKEN,gpu1_p7_egomap/eval_p7.py,n/a,n/a,ARGMAX (pi.mode) - CONTRADICTS paired_256,N/A (dead code: build_eval_fn never called; TypeError/NameError),n/a,n/a,n/a,n/a,n/a,NO,REMOVE or QUARANTINE: dead argmax path + unreachable compare_arms(McNemar/bootstrap). Must not be cited as protocol.,QUARANTINE (dead code); argmax must not represent P7 protocol
P8_FINAL,gpu2_p8_longmemory/src/eval_p8_final.py,self-hash A,stochastic,stochastic,YES,256,42,NO,"load_params tree_unflatten, raise on missing (strict)",short-on-done/long-on-true_done,PARTIAL,add world_set_hash; sync per-world arrays to audit,KEEP; upgrade to V1
P8_MIGRATION,gpu2_p8_longmemory/src/eval_p8_migration.py,self-hash B (!=A),stochastic,stochastic,YES,64,42,NO,orbax load_weights_only nested->flat->raw SILENT FALLBACK CHAIN,same as final,NO (silent fallback violates A4; 64 worlds != 256),HARD-FAIL the silent fallback chain (GATE4); mark 64-world gate distinct from 256-world; baseline=teacher17500 differs from final's Control,"FIX load policy; keep as 64w migration gate only, never pooled with 256w"
P9_FINAL,gpu3_p9_authentic_reset/src/eval_p9_final.py,self-hash,stochastic,stochastic,YES,256,42,NO,strict,GTrXL on done,PARTIAL,add world_set_hash; sync per-world + compare_resume artifact,KEEP; upgrade to V1
W512_A_SIDE_UNIFIED,bakeoff_phase1/shared/eval_a_side_unified.py,dcf7fe20,stochastic,stochastic,YES,256,42,NO,strict,GTrXL on done,PARTIAL,UNIFY with W512_P2REPLAY evaluator (single file); add world_set_hash,MERGE into single W512 canonical evaluator (drift fix)
W512_P2REPLAY,bakeoff_phase1/eval_w512_p2replay.py,f76bb53c (!=dcf7fe20),stochastic,stochastic,YES,256,42,NO,strict,long_buf only true_done reset,PARTIAL,UNIFY: two W512 evaluator files cause caliber drift across arms1-4 vs arms5-6; collapse to one file under CANONICAL_EVALUATOR_V1,MERGE into single W512 canonical evaluator (drift fix)
G6_GATE_ARGMAX,(G6 / memory-off gate code),n/a,argmax (gate),argmax,INCONSISTENT vs main stochastic protocol,n/a,n/a,n/a,n/a,n/a,NO,"RELABEL: G6 argmax is a MEMORY-OFF LOGIT DIAGNOSTIC (cf anchor :277), NOT the policy action_mode; document explicitly and never report as eval policy mode",RELABEL as diagnostic probe
LC_LINE,student_long_context_wave1/shared,self,stochastic,stochastic,YES,256,100000,NO,n/a,LC summary chunk,PARTIAL (seed 100000),flag seed100000 separate; no pooled comparison with seed42,KEEP separate seed line
