field,section,matched_control,real_p2_full_a,verdict,verdict_detail,evidence_source,freeze_required
network.class,authoritative_field_table,ActorCriticTransformer (Base GTrXL),ActorCriticTransformer (Base GTrXL trunk),IDENTICAL,IDENTICAL,GIT_PROVENANCE,False
network.long_memory_module,authoritative_field_table,NONE,NONE (P2-Full-A has no long-memory module; W512/RMT ADD one),IDENTICAL,IDENTICAL (this is the intended single axis vs W512/RMT),GIT_PROVENANCE,False
init.checkpoint,authoritative_field_table,teacher17500,base_ckpt_v7fix55_armA_s0/rl_checkpoints/17500,IDENTICAL,IDENTICAL,RAW_FILE (P2 summary base_checkpoint),False
init.params_sha256,authoritative_field_table,d4e85af58b7f87d6,teacher_sha=d4e85af58b7f87d6 (LC smoke logs); P2 base = ckpt17500,IDENTICAL,IDENTICAL,RAW_FILE (LC logs teacher_sha),False
ppo.optimizer,authoritative_field_table,Adam,Adam (ppo),IDENTICAL,IDENTICAL,GIT_PROVENANCE,False
ppo.learning_rate,authoritative_field_table,2.0e-5,2e-05,IDENTICAL,IDENTICAL,RAW_FILE (P2 manifest lr),False
ppo.adam_eps,authoritative_field_table,1.0e-5,1e-05,IDENTICAL,IDENTICAL,RAW_FILE (P2 manifest config),False
ppo.gamma,authoritative_field_table,0.999,0.999,IDENTICAL,IDENTICAL,RAW_FILE,False
ppo.grad_clip_global_norm,authoritative_field_table,1.0,1.0,IDENTICAL,IDENTICAL,RAW_FILE,False
ppo.num_envs,authoritative_field_table,16,16,IDENTICAL,IDENTICAL,RAW_FILE,False
ppo.rollout_steps,authoritative_field_table,128,128,IDENTICAL,IDENTICAL,RAW_FILE,False
ppo.transitions_per_update,authoritative_field_table,2048,2048,IDENTICAL,IDENTICAL,RAW_FILE,False
replay.enabled,authoritative_field_table,true,true (replay_samples_drawn>0; format p2_full_a_pure_pickle_v1),IDENTICAL,IDENTICAL,RAW_FILE (P2 manifest counters),False
replay.capacity,authoritative_field_table,64,64,IDENTICAL,IDENTICAL,RAW_FILE,False
replay.vtrace,authoritative_field_table,true,"w_vtrace=0.5 vt_clip[-50.0,300.0]",IDENTICAL,IDENTICAL (vtrace enabled),RAW_FILE,False
replay.awr_hindsight,authoritative_field_table,true,w_awr=0.5; hindsight_eligible=188,IDENTICAL,IDENTICAL (AWR+hindsight enabled),RAW_FILE,False
replay.ema.tau,authoritative_field_table,0.995,0.995,IDENTICAL,IDENTICAL,RAW_FILE,False
replay.policy_lag_gate.max_lag,authoritative_field_table,16,16,IDENTICAL,IDENTICAL,RAW_FILE,False
replay.transactional_kl_gate,authoritative_field_table,true,kl_max=0.05 kl_replay_max=0.05 lambda_kl=0.01,IDENTICAL,IDENTICAL (KL gate enabled),RAW_FILE,False
arch.embed,authoritative_field_table,256,256,IDENTICAL,IDENTICAL,RAW_FILE,False
arch.num_heads,authoritative_field_table,8,8,IDENTICAL,IDENTICAL,RAW_FILE,False
arch.num_layers,authoritative_field_table,2,2,IDENTICAL,IDENTICAL,RAW_FILE,False
arch.window_mem (GTrXL window),authoritative_field_table,128,128 (frozen design: 128-step UNCHANGED from ckpt17500),IDENTICAL,IDENTICAL,RAW_FILE,False
replay.L_SEQ,authoritative_field_table,512,CONFLICT: W512 repro used 129 (run_p2_full_smoke.py:66 'formal run uses 512'); RMT16/P2-Full-A v2.1 frozen=512; P2-Full-A actual run value NOT in synced manifests,UNVERIFIED_MUST_FREEZE,UNVERIFIED — MUST FREEZE ON SERVER (MISS-6),REPORT_ONLY,True
