claim_id,claim_text,experiment,raw_data_local,evidence_level,recompute_status,reproducibility_label,claim_scope_allowed,remediation_gate
CL-01,Control PPO @24576 reproduces canonical 36.33% (93/256),CONTROL_24576,YES per-world,MATCHED_CAUSAL_SCREEN (single-seed),RECOMPUTED (per-world local),PASS (recomputed),YES - control identity confirmed within unified evaluator,GATE12 satisfied (raw data present)
CL-02,BASELINE teacher17500 = 101/256 = 39.45%,BASELINE,YES per-world,MATCHED_CAUSAL_SCREEN,RECOMPUTED (per-world local),PASS (recomputed),YES as anchor; vs Control gap NOT significant,GATE12 satisfied (raw data present)
CL-03,SlowGRU long-state carry improves SR,SLOWGRU_PERSISTENT,YES per-world,MATCHED_CAUSAL_SCREEN (single-seed),RECOMPUTED (per-world local),"PASS (no carry, recomputed)",NO causal carry claim; TRAINING_REGULARIZATION_ONLY,GATE12 satisfied (raw data present)
CL-04,EventMem long-state carry improves SR,EVENTMEM_PERSISTENT,YES per-world,MATCHED_CAUSAL_SCREEN,RECOMPUTED (per-world local),"PASS (no carry, recomputed)",NO causal carry claim; TRAINING_REGULARIZATION_ONLY,GATE12 satisfied (raw data present)
CL-05,SlowGRU/EventMem co-training improves SR vs Control,SG/EM Reset128 & Persistent_off,YES per-world,SINGLE_SEED_SCREEN,RECOMPUTED (per-world local),"PARTIAL (single-seed marginal, recomputed)",PARTIAL - single-seed marginal; confounded with architecture until Phase3,GATE12 satisfied (raw data present)
CL-06,"SlowGRU ablation D_off >= A_on => gain in co-trained short-term policy, slow state ~0",SLOWGRU qualification,YES (aggregates),SINGLE_SEED_SCREEN,RECOMPUTED (per-world local),"PARTIAL (single-seed, recomputed)","YES as attribution hypothesis (single-seed, marginal)",GATE12 satisfied (raw data present)
CL-07,W512 Replay eliminates long-history carry (REPLAY_ELIMINATES_CARRY),W512_P2REPLAY 2x2,NO (aggregates only),MATCHED_CAUSAL_SCREEN (single-seed) but LOCALLY UNVERIFIABLE,NOT_RECOMPUTED (no per-world),UNVERIFIED (per-world server-only),PARTIAL - method sound (McNemar+paired bootstrap) but per-world server-only; cannot recompute locally,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-08,W512 carry improves SR without replay (CARRY_NO_REPLAY +8.2pp),W512_PPO 2x2,NO,INVALID REGIME,NOT_RECOMPUTED (no per-world),UNVERIFIED + collapsed regime,NO - statistically significant yet regime-invalid (collapsed arms),GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-09,W512 architecture improves SR vs Control,W512 vs Control,NO,EVIDENCE_INSUFFICIENT (confounded),NOT_RECOMPUTED (no per-world),UNVERIFIED + confounded,NO - arch+training confounded; strict_reference=False,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-10,P2 Replay bundle itself improves SR vs Control,P2 line,NO (design/code only),EVIDENCE_INSUFFICIENT,NOT_RECOMPUTED (no per-world),UNVERIFIED (no formal eval),NO - missing Control+Replay control; formal Henry P2 not tested locally,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-11,P7 EgoMap improves SR (matched A/B),P7_EGOMAP,NO,"MATCHED_CAUSAL_SCREEN design, results UNVERIFIED",NOT_RECOMPUTED (no per-world),UNVERIFIED (no per-world/SHA local),DESIGN ONLY until results+manifest synced,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-12,P8 summary long-memory improves SR,P8_LONGMEM,NO,DESCRIPTIVE_POINT_ESTIMATE (exploratory),NOT_RECOMPUTED (no per-world),UNVERIFIED (server-only),NO positive claim; exploratory only,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-13,P9 authentic-reset improves SR,P9_AUTHENTIC,NO (aggregates in BAKEOFF md),DESCRIPTIVE_POINT_ESTIMATE (single-seed),NOT_RECOMPUTED (no per-world),UNVERIFIED (server-only),NO positive claim; transient descriptive only,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-14,RMT16 carry improves SR,RMT16,NO,ENGINEERING_ONLY / EVIDENCE_INSUFFICIENT,NOT_RECOMPUTED (no per-world),UNVERIFIED (CC2; engineering only),NO performance claim this round (CC2 domain),GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-15,Delayed-emergence / long-run gain from long-memory,PHASE3 longrun,NO (server JSON),DESCRIPTIVE (observational),NOT_RECOMPUTED (no per-world),UNVERIFIED numbers (server),PARTIAL - gain-SOURCE causality OK via Detach/MatchedMLP (interventional); delayed-emergence descriptive only,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-16,D052 enhanced-aggregation adds value over original_x_clpa,D052 (CC3),CC3 domain,CC3-audited,NOT_RECOMPUTED (no per-world),CC3 domain,DEFER to CC3 (internal validity); CC4 notes only final-cell eval boundary,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
CL-17,S5 SSM student matches/beats baseline,S5_STUDENT,NO,ENGINEERING_ONLY,NOT_RECOMPUTED (no per-world),UNVERIFIED (smoke only),engineering foundation only,GATE12: no strong conclusion without per-world (EVIDENCE_UNVERIFIED)
